model,task_id,role,score,method,reason
Qwen2.5-3B-Instruct-Q8_0,P03,PPT,80.0,hybrid,"Hybrid: 자동검증 84.0점 × 45% + Judge 84.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 슬라이드별 핵심 내용이 2개씩 제시되지 않은 경우가 2곳(슬라이드 1, 5) 있어 감점. 나머지 항목은 충족."
Qwen2.5-3B-Instruct-Q8_0,P04,PPT,50.0,objective,필수개념 1/2
Qwen2.5-3B-Instruct-Q8_0,R01,Research,100.0,objective,필수개념 3/3
Qwen2.5-3B-Instruct-Q8_0,R02,Research,50.0,objective,필수개념 2/4
Qwen2.5-3B-Instruct-Q8_0,R03,Research,40.0,hybrid,"Hybrid: 자동검증 45.0점 × 50% + Judge 45.0점 × 50%, 실패한 핵심조건 상한 40.0점. Judge: 센서 B가 요구조건을 모두 만족한다고 잘못 판단하여 중대 오류. 자동검증에서 탈락 센서를 적합하다고 판단하는 역방향 주장이 검출됨."
Qwen2.5-3B-Instruct-Q8_0,R04,Research,55.0,objective,"필수개념 3/4, 추측항목 포함 ['전원부'] → -20"
Qwen2.5-3B-Instruct-Q8_0,W01,Writer,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 45% + Judge 70.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 필수 수치와 기간은 정확히 포함되었으나, '한 개 라인에서만 검증'과 '향후 다른 라인 검증 필요'의 표현이 약하게 되어 한계를 명시하지 못함. 또한 '효과적임을 확인했습니다'는 과장된 표현으로 보여 감점."
Qwen2.5-3B-Instruct-Q8_0,W02,Writer,97.25,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 95.0점 × 55%. Judge: 3문장으로 정확히 구성되었고, 전문용어를 비전공자도 이해할 수 있도록 설명했다. 의미 훼손 없음."
Qwen2.5-3B-Instruct-Q8_0,W03,Writer,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 40% + Judge 70.0점 × 60%, 실패한 핵심조건 상한 80.0점. Judge: 예산과 정확도 우선 권고를 구분하고 트레이드오프를 설명했으나, 보고서 문체와 분량(160자)이 요구사항을 충족하지 못해 감점됨."
Qwen2.5-3B-Instruct-Q8_0,W04,Writer,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 40% + Judge 70.0점 × 60%, 실패한 핵심조건 상한 80.0점. Judge: 원인 미확정과 담당 구분은 충족했으나, '금요일 다시 체크'를 '다음 주 금요일까지 진행 상황을 점검하기로 했습니다.'로 표현해 명확성 부족. 자수(145자)는 기준 미달."
Qwen2.5-7B-Instruct-Q4_K_M,C01,Coding,100.0,objective,필수개념 2/2
Qwen2.5-7B-Instruct-Q4_K_M,C02,Coding,100.0,objective,필수개념 3/3
Qwen2.5-7B-Instruct-Q4_K_M,C03,Coding,100.0,objective,필수개념 5/5
Qwen2.5-7B-Instruct-Q4_K_M,C04,Coding,25.0,objective,"유효 알고리즘=FAIL, 평균 O(n) 설명=PASS"
Qwen2.5-7B-Instruct-Q4_K_M,C05,Coding,100.0,objective,필수개념 3/3
Qwen2.5-7B-Instruct-Q4_K_M,K01,Critic,50.0,objective,필수개념 1/2
Qwen2.5-7B-Instruct-Q4_K_M,K02,Critic,75.0,objective,필수개념 3/4
Qwen2.5-7B-Instruct-Q4_K_M,K03,Critic,88.0,hybrid,"Hybrid: 자동검증 88.0점 × 50% + Judge 88.0점 × 50%. Judge: 모순을 정확히 지적했으나, '6주'와 '8주치 데이터'의 수치 충돌에 대한 구체적인 설명이 부족하고, 자동검증에서 요구된 '4주 | 약 4주 | 30일 | 한 달' 등의 표현이 누락되어 감점됨"
Qwen2.5-7B-Instruct-Q4_K_M,K04,Critic,50.0,hybrid,"Hybrid: 자동검증 50.0점 × 55% + Judge 50.0점 × 45%, 실패한 핵심조건 상한 60.0점. Judge: 하드코딩된 비밀번호 문제를 식별했으나, '비밀번호 admin123을 소스 코드에 하드코딩/평문 저장한 문제'라는 구체적인 지적 없이 '암호화된 형태로 저장'이라는 일반적인 언급만 함. SQL Injection 문제는 정확히 지적했지만, 수정 방향에서 비밀정보 관리 방법은 명시되지 않음."
Qwen2.5-7B-Instruct-Q4_K_M,K05,Critic,92.5,hybrid,"Hybrid: 자동검증 100.0점 × 50% + Judge 85.0점 × 50%. Judge: 3가지 비판 중 2개는 자동검증 기준에 부합하지만, '91.7% 자체가 계산상 틀렸다'는 주장은 없어 해당 항목이 누락됨. 또한 '보장'이라는 표현에 대한 비판이 약간 모호함."
Qwen2.5-7B-Instruct-Q4_K_M,D01,Data,100.0,objective,정답 86.0 발견
Qwen2.5-7B-Instruct-Q4_K_M,D02,Data,100.0,objective,수치정답 2/2
Qwen2.5-7B-Instruct-Q4_K_M,D03,Data,100.0,objective,정답 0.2687 발견
Qwen2.5-7B-Instruct-Q4_K_M,D04,Data,100.0,objective,"line 기준 groupby=PASS, defect_rate 평균=PASS, 집계 평균 > 0.03 필터=PASS, 집계값 내림차순 정렬=PASS"
Qwen2.5-7B-Instruct-Q4_K_M,D05,Data,100.0,objective,수치정답 2/2
Qwen2.5-7B-Instruct-Q4_K_M,P01,PPT,97.25,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 95.0점 × 55%. Judge: 6장 구성 및 문제→근거→대안/계획 흐름 준수. 슬라이드 메시지 명확하고 경영진 관점 반영. 다만 '슬라이드 2'의 핵심 메시지가 기술 설명에 초점이 맞춰져 있어, 경영진에게 전달할 핵심 메시지로는 약간 부족한 점이 있음."
Qwen2.5-7B-Instruct-Q4_K_M,P02,PPT,96.75,hybrid,"Hybrid: 자동검증 100.0점 × 35% + Judge 95.0점 × 65%. Judge: 제목은 메시지형이며, 차트 유형이 추세 비교에 적절함. 파일럿 라인임을 명확히 표기했고, 수치도 정확하게 포함됨. 다만 하단 주석의 문장 구조가 약간 복잡해 정보 전달성이 다소 낮음."
Qwen2.5-7B-Instruct-Q4_K_M,P03,PPT,97.25,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 95.0점 × 55%. Judge: 5장 구조 및 핵심 포인트 2개 충족, 개념 순서 자연스러움. VRAM과 양자화 설명 정확하며 멀티에이전트 배치 이유 연결 명확."
Qwen2.5-7B-Instruct-Q4_K_M,P04,PPT,50.0,objective,필수개념 1/2
Qwen2.5-7B-Instruct-Q4_K_M,R01,Research,100.0,objective,필수개념 3/3
Qwen2.5-7B-Instruct-Q4_K_M,R02,Research,50.0,objective,필수개념 2/4
Qwen2.5-7B-Instruct-Q4_K_M,R03,Research,40.0,hybrid,"Hybrid: 자동검증 45.0점 × 50% + Judge 45.0점 × 50%, 실패한 핵심조건 상한 40.0점. Judge: 센서 B가 요구조건을 모두 만족한다고 잘못 판단하여 중대 오류. 센서 B의 정확도 ±1.0°C는 요구 ±0.8°C 이내를 만족하지 못함."
Qwen2.5-7B-Instruct-Q4_K_M,R04,Research,100.0,objective,필수개념 4/4
Qwen2.5-7B-Instruct-Q4_K_M,W01,Writer,75.5,hybrid,"Hybrid: 자동검증 70.0점 × 45% + Judge 80.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 필수 수치와 기간이 정확히 포함되었으나, 분량이 부족해 감점됨. 한 개 라인 한계와 향후 검증 필요성을 명시했으나, 보고서 문체는 기본적임."
Qwen2.5-7B-Instruct-Q4_K_M,W02,Writer,97.25,hybrid,Hybrid: 자동검증 100.0점 × 45% + Judge 95.0점 × 55%. Judge: JSON 형식이 아니어서 score 필드에서 복구
Qwen2.5-7B-Instruct-Q4_K_M,W03,Writer,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 40% + Judge 70.0점 × 60%, 실패한 핵심조건 상한 80.0점. Judge: 예산과 정확도 우선 권고를 구분했으나, 트레이드오프에 대한 설명이 부족하고, 단일결론처럼 보이는 표현이 포함되어 있다."
Qwen2.5-7B-Instruct-Q4_K_M,W04,Writer,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 40% + Judge 70.0점 × 60%, 실패한 핵심조건 상한 80.0점. Judge: 원인 미확정과 담당 구분, 금요일 재점검은 충족했으나, 자료 수량(144자)이 요구 범위(150~220자)를 하회해 감점됨."
Qwen2.5-7B-Instruct-Q6_K,C01,Coding,100.0,objective,필수개념 2/2
Qwen2.5-7B-Instruct-Q6_K,C02,Coding,66.66666666666667,objective,필수개념 2/3
Qwen2.5-7B-Instruct-Q6_K,C03,Coding,100.0,objective,필수개념 5/5
Qwen2.5-7B-Instruct-Q6_K,C04,Coding,25.0,objective,"유효 알고리즘=FAIL, 평균 O(n) 설명=PASS"
Qwen2.5-7B-Instruct-Q6_K,C05,Coding,66.66666666666667,objective,필수개념 2/3
Qwen2.5-7B-Instruct-Q6_K,K01,Critic,50.0,objective,필수개념 1/2
Qwen2.5-7B-Instruct-Q6_K,K02,Critic,100.0,objective,필수개념 4/4
Qwen2.5-7B-Instruct-Q6_K,K03,Critic,88.0,hybrid,"Hybrid: 자동검증 88.0점 × 50% + Judge 88.0점 × 50%. Judge: 모순을 정확히 두 가지 모두 지적했고, 수치적 충돌도 구체적으로 설명함. 다만 '6주'가 42일이 아니라 30~31일인 점을 명확히 하지 않아 자동검증에서 누락된 '약 4주 | 30일 | 한 달' 관련 표현이 부족함."
Qwen2.5-7B-Instruct-Q6_K,K04,Critic,50.0,hybrid,"Hybrid: 자동검증 50.0점 × 55% + Judge 50.0점 × 45%, 실패한 핵심조건 상한 60.0점. Judge: 하드코딩된 비밀번호 문제는 언급했으나, '비밀정보는 환경변수/Secret 관리 등으로 분리'라는 수정 방향은 제시하지 않음. SQL Injection 문제는 정확히 지적했지만, 전체적으로 요구사항 중 일부만 충족함."
Qwen2.5-7B-Instruct-Q6_K,K05,Critic,80.0,hybrid,"Hybrid: 자동검증 80.0점 × 50% + Judge 80.0점 × 50%. Judge: 자동 검증 결과 중 '불확실성' 관련 항목이 누락되어 감점되었으나, 나머지 주요 비판 포인트는 충분히 제시됨."
Qwen2.5-7B-Instruct-Q6_K,D01,Data,100.0,objective,정답 86.0 발견
Qwen2.5-7B-Instruct-Q6_K,D02,Data,100.0,objective,수치정답 2/2
Qwen2.5-7B-Instruct-Q6_K,D03,Data,100.0,objective,정답 0.2687 발견
Qwen2.5-7B-Instruct-Q6_K,D04,Data,100.0,objective,"line 기준 groupby=PASS, defect_rate 평균=PASS, 집계 평균 > 0.03 필터=PASS, 집계값 내림차순 정렬=PASS"
Qwen2.5-7B-Instruct-Q6_K,D05,Data,100.0,objective,수치정답 2/2
Qwen2.5-7B-Instruct-Q6_K,P01,PPT,65.0,hybrid,"Hybrid: 자동검증 65.0점 × 45% + Judge 65.0점 × 55%, 실패한 핵심조건 상한 75.0점. Judge: 슬라이드 수가 7장으로 요구사항을 위반하여 기본 점수에서 감점됨. 다른 항목은 문제 없으나, 총 6장이어야 하는데 표지 포함 7장이므로 구조적 오류가 있음."
Qwen2.5-7B-Instruct-Q6_K,P02,PPT,96.75,hybrid,"Hybrid: 자동검증 100.0점 × 35% + Judge 95.0점 × 65%. Judge: 차트 유형과 제목이 적절하며, 파일럿 라인임을 명확히 표시함. 강조 문장은 추세를 잘 반영하지만, '향후 생산 효율성 향상에 기여'라는 인과 주장이 약간 과도할 수 있음."
Qwen2.5-7B-Instruct-Q6_K,P03,PPT,97.25,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 95.0점 × 55%. Judge: 5장 구조 및 핵심 내용 수 준수, 개념 순서 자연스러움. VRAM과 양자화 설명 정확, 멀티에이전트 배치 이유 연결 명확. 다만 '결론 및 질문 시간'은 발표 내용으로 보기 어려워 약간의 밀도 문제 존재."
Qwen2.5-7B-Instruct-Q6_K,P04,PPT,100.0,objective,필수개념 2/2
Qwen2.5-7B-Instruct-Q6_K,R01,Research,100.0,objective,필수개념 3/3
Qwen2.5-7B-Instruct-Q6_K,R02,Research,50.0,objective,필수개념 2/4
Qwen2.5-7B-Instruct-Q6_K,R03,Research,40.0,hybrid,"Hybrid: 자동검증 55.0점 × 50% + Judge 55.0점 × 50%, 실패한 핵심조건 상한 40.0점. Judge: 탈락 센서를 적합하다고 판단하는 역방향 주장이 포함되어 중대 오류가 발생함."
Qwen2.5-7B-Instruct-Q6_K,R04,Research,100.0,objective,필수개념 4/4
Qwen2.5-7B-Instruct-Q6_K,W01,Writer,75.5,hybrid,"Hybrid: 자동검증 70.0점 × 45% + Judge 80.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 필수 사실은 모두 포함했으나, 자동검증에서 지적된 글자 수 부족(148자)으로 인해 감점됨."
Qwen2.5-7B-Instruct-Q6_K,W02,Writer,97.25,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 95.0점 × 55%. Judge: 3문장으로 정확히 구성되었고, 전문 용어를 비전공자가 이해할 수 있도록 쉽게 설명함. 의미 훼손 없음."
Qwen2.5-7B-Instruct-Q6_K,W03,Writer,67.0,hybrid,"Hybrid: 자동검증 70.0점 × 40% + Judge 65.0점 × 60%, 실패한 핵심조건 상한 80.0점. Judge: 예산과 정확도 우선 권고를 구분했으나, 트레이드오프 설명이 부족하고 문체가 불일치(한글-영어 혼용)하며 자동검증에서 지적된 220~320자 범위 위반으로 감점됨."
Qwen2.5-7B-Instruct-Q6_K,W04,Writer,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 40% + Judge 70.0점 × 60%, 실패한 핵심조건 상한 80.0점. Judge: 원인 미확정과 담당 구분은 정확히 반영되었으나, 금요일 재점검 내용이 '다시 체크'보다는 '다시 회의하여 확인할 계획'으로 약간 변형되어 일부 차이가 있음. 또한 공식 문체는 유지되지만, '현재까지의 원인은 명확히 파악되지 않았습니다'는 원문에 없는 표현을 추가함."
Qwen2.5-Coder-14B-Instruct-Q5_K_M,C01,Coding,100.0,objective,필수개념 2/2
Qwen2.5-Coder-14B-Instruct-Q5_K_M,C02,Coding,100.0,objective,필수개념 3/3
Qwen2.5-Coder-14B-Instruct-Q5_K_M,C03,Coding,100.0,objective,필수개념 5/5
Qwen2.5-Coder-14B-Instruct-Q5_K_M,C04,Coding,100.0,objective,"유효 알고리즘=PASS(seen set + append/add), 평균 O(n) 설명=PASS"
Qwen2.5-Coder-14B-Instruct-Q5_K_M,C05,Coding,100.0,objective,필수개념 3/3
Qwen2.5-Coder-14B-Instruct-Q5_K_M,K01,Critic,50.0,objective,필수개념 1/2
Qwen2.5-Coder-14B-Instruct-Q5_K_M,K02,Critic,100.0,objective,필수개념 4/4
Qwen2.5-Coder-14B-Instruct-Q5_K_M,K03,Critic,88.0,hybrid,"Hybrid: 자동검증 88.0점 × 50% + Judge 88.0점 × 50%. Judge: 모순 #1과 #2를 정확히 지적했으나, '6주간은 8월 14일까지'라는 계산이 정확하지 않아 일부 감점. 자동검증 결과에 따라 '약 4주' 관련 설명이 누락되어 추가 감점."
Qwen2.5-Coder-14B-Instruct-Q5_K_M,K04,Critic,100.0,hybrid,Hybrid: 자동검증 100.0점 × 55% + Judge 100.0점 × 45%. Judge: 두 가지 보안 문제를 정확히 식별하고 수정 방향을 명확하게 제시함. 자동 검증 결과와도 일치함.
Qwen2.5-Coder-14B-Instruct-Q5_K_M,K05,Critic,92.5,hybrid,"Hybrid: 자동검증 100.0점 × 50% + Judge 85.0점 × 50%. Judge: 자동 검증 결과 중 3개 항목이 충족되었으나, '보장'이라는 표현에 대한 비판이 명확하지 않음. 또한 '모든 제조현장'과 관련된 외적 타당성 문제는 언급되었지만, 신뢰구간 등 불확실성에 대한 설명은 부족함."
Qwen2.5-Coder-14B-Instruct-Q5_K_M,D01,Data,100.0,objective,정답 86.0 발견
Qwen2.5-Coder-14B-Instruct-Q5_K_M,D02,Data,100.0,objective,수치정답 2/2
Qwen2.5-Coder-14B-Instruct-Q5_K_M,D03,Data,0.0,objective,"기대값 0.2687, 추출값 [0.9, 0.02, 0.9, 0.02, 0.05, 0.98, 0.1765]"
Qwen2.5-Coder-14B-Instruct-Q5_K_M,D04,Data,100.0,objective,"line 기준 groupby=PASS, defect_rate 평균=PASS, 집계 평균 > 0.03 필터=PASS, 집계값 내림차순 정렬=PASS"
Qwen2.5-Coder-14B-Instruct-Q5_K_M,D05,Data,0.0,objective,수치정답 0/2
Qwen2.5-Coder-14B-Instruct-Q5_K_M,P01,PPT,97.25,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 95.0점 × 55%. Judge: 6장 구성 및 문제→근거→대안/계획 흐름 준수. 각 슬라이드 메시지 명확하고 경영진 관점 반영. 단, '현재 공장 설비 관리의 한계점'과 'AI 도입 전략 및 구현 단계'의 핵심 메시지가 다소 일반적일 수 있음."
Qwen2.5-Coder-14B-Instruct-Q5_K_M,P02,PPT,80.5,hybrid,"Hybrid: 자동검증 100.0점 × 35% + Judge 70.0점 × 65%. Judge: 차트 유형은 추세 분석에 적절하지만, 강조 문장에서 과도한 인과 주장(향후 전체 공장 확대 시 성능 개선 기대)이 포함되어 있음. 파일럿 라인임을 명시하는 것은 충족했으나, 제목은 메시지형보다는 단순한 정보 전달에 그침."
Qwen2.5-Coder-14B-Instruct-Q5_K_M,P03,PPT,97.25,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 95.0점 × 55%. Judge: 5장 구조 충족, 각 슬라이드별 핵심 내용 정확히 2개 제시. VRAM과 양자화 설명이 명확하며, 멀티에이전트 배치 이유도 적절히 연결됨. 다만 '역할별로 모델을 배치하는 이유'는 구체적 예시 없이 일반적인 설명만 제공되어 약간의 개선 여지가 있음."
Qwen2.5-Coder-14B-Instruct-Q5_K_M,P04,PPT,100.0,objective,필수개념 2/2
Qwen2.5-Coder-14B-Instruct-Q5_K_M,R01,Research,100.0,objective,필수개념 3/3
Qwen2.5-Coder-14B-Instruct-Q5_K_M,R02,Research,100.0,objective,필수개념 4/4
Qwen2.5-Coder-14B-Instruct-Q5_K_M,R03,Research,40.0,hybrid,"Hybrid: 자동검증 45.0점 × 50% + Judge 45.0점 × 50%, 실패한 핵심조건 상한 40.0점. Judge: 센서 B가 요구조건을 모두 만족한다고 잘못 판단하여 중대 오류. 자동검증 결과 탈락 센서를 적합하다고 판단하는 역방향 주장이 감점 원인."
Qwen2.5-Coder-14B-Instruct-Q5_K_M,R04,Research,100.0,objective,필수개념 4/4
Qwen2.5-Coder-14B-Instruct-Q5_K_M,W01,Writer,62.0,hybrid,"Hybrid: 자동검증 62.0점 × 45% + Judge 62.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 필수 사실 중 '한 개 라인에서만 검증'이 누락되어 감점되었으며, 자동검증 결과에 따라 총 감점이 적용됨."
Qwen2.5-Coder-14B-Instruct-Q5_K_M,W02,Writer,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 45% + Judge 70.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 3문장으로 구성되어 있으나, '임베딩'과 '유사 검색'에 대한 설명이 부족해 비전공자 친화적이지 않음. 또한 원문의 핵심 개념인 '고차원 임베딩 공간'과 '근사 최근접 이웃 탐색'은 명확히 전달되지 않음."
Qwen2.5-Coder-14B-Instruct-Q5_K_M,W03,Writer,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 40% + Judge 70.0점 × 60%, 실패한 핵심조건 상한 80.0점. Judge: 비용/정확도/기간 수치는 정확히 반영되었으나, 트레이드오프 설명이 부족하고 단일결론처럼 느껴지는 표현이 포함되어 감점."
Qwen2.5-Coder-14B-Instruct-Q5_K_M,W04,Writer,97.0,hybrid,"Hybrid: 자동검증 100.0점 × 40% + Judge 95.0점 × 60%. Judge: 원인 미확정, 담당 구분, 금요일 재점검을 모두 충족했으나, '결정되었습니다' 등의 표현이 약간 공식적이지 않은 톤으로 느껴짐."
Qwen2.5-Coder-14B-Instruct-Q8_0,C01,Coding,100.0,objective,필수개념 2/2
Qwen2.5-Coder-14B-Instruct-Q8_0,C02,Coding,100.0,objective,필수개념 3/3
Qwen2.5-Coder-14B-Instruct-Q8_0,C03,Coding,100.0,objective,필수개념 5/5
Qwen2.5-Coder-14B-Instruct-Q8_0,C04,Coding,100.0,objective,"유효 알고리즘=PASS(seen set + append/add), 평균 O(n) 설명=PASS"
Qwen2.5-Coder-14B-Instruct-Q8_0,C05,Coding,100.0,objective,필수개념 3/3
Qwen2.5-Coder-14B-Instruct-Q8_0,K01,Critic,50.0,objective,필수개념 1/2
Qwen2.5-Coder-14B-Instruct-Q8_0,K02,Critic,100.0,objective,필수개념 4/4
Qwen2.5-Coder-14B-Instruct-Q8_0,K03,Critic,88.0,hybrid,"Hybrid: 자동검증 88.0점 × 50% + Judge 88.0점 × 50%. Judge: 모순을 정확히 두 가지로 지적하고, 각 모순에 대한 구체적인 수치 충돌(6주 vs 8주)을 설명함. 다만 '7월 31일은 4주'라는 자동검증에서 요구된 표현이 누락되어 감점."
Qwen2.5-Coder-14B-Instruct-Q8_0,K04,Critic,100.0,hybrid,Hybrid: 자동검증 100.0점 × 55% + Judge 100.0점 × 45%. Judge: 두 가지 보안 문제를 정확히 식별하고 수정 방향을 명확하게 제시함. 자동 검증 결과와도 일치함.
Qwen2.5-Coder-14B-Instruct-Q8_0,K05,Critic,97.5,hybrid,"Hybrid: 자동검증 100.0점 × 50% + Judge 95.0점 × 50%. Judge: 3가지 관점에서 명확히 비판했으며, 자동검증 항목 모두 충족. 다만 '보장'이라는 표현에 대한 구체적 언급이 약간 부족해 소폭 감점."
Qwen2.5-Coder-14B-Instruct-Q8_0,D01,Data,100.0,objective,정답 86.0 발견
Qwen2.5-Coder-14B-Instruct-Q8_0,D02,Data,100.0,objective,수치정답 2/2
Qwen2.5-Coder-14B-Instruct-Q8_0,D03,Data,0.0,objective,"기대값 0.2687, 추출값 [0.9, 0.02, 0.9, 0.02, 0.05, 0.98, 0.1765]"
Qwen2.5-Coder-14B-Instruct-Q8_0,D04,Data,100.0,objective,"line 기준 groupby=PASS, defect_rate 평균=PASS, 집계 평균 > 0.03 필터=PASS, 집계값 내림차순 정렬=PASS"
Qwen2.5-Coder-14B-Instruct-Q8_0,D05,Data,0.0,objective,수치정답 0/2
Qwen2.5-Coder-14B-Instruct-Q8_0,P01,PPT,97.25,hybrid,Hybrid: 자동검증 100.0점 × 45% + Judge 95.0점 × 55%. Judge: 6장 구성 및 문제→근거→대안/계획 흐름 충족. 각 슬라이드 메시지 명확하고 경영진 관점 반영. 중복 최소화 잘됨.
Qwen2.5-Coder-14B-Instruct-Q8_0,P02,PPT,96.75,hybrid,"Hybrid: 자동검증 100.0점 × 35% + Judge 95.0점 × 65%. Judge: 차트 유형과 제목이 적절하며, 파일럿 라인임을 명확히 표시함. 다만 '강조할 한 문장'에서 '크게 감소한 점'이라는 표현은 수치 차이(5.2% → 3.1%)에 대한 주관적 해석이 포함되어 약간의 과장 가능성이 있음."
Qwen2.5-Coder-14B-Instruct-Q8_0,P03,PPT,97.25,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 95.0점 × 55%. Judge: 5장 구조 및 핵심 내용 수 준수, 개념 순서 자연스러움. VRAM과 양자화 설명은 정확하며 멀티에이전트 배치 이유도 명확히 제시됨."
Qwen2.5-Coder-14B-Instruct-Q8_0,P04,PPT,100.0,objective,필수개념 2/2
Qwen2.5-Coder-14B-Instruct-Q8_0,R01,Research,100.0,objective,필수개념 3/3
Qwen2.5-Coder-14B-Instruct-Q8_0,R02,Research,100.0,objective,필수개념 4/4
Qwen2.5-Coder-14B-Instruct-Q8_0,R03,Research,40.0,hybrid,"Hybrid: 자동검증 45.0점 × 50% + Judge 45.0점 × 50%, 실패한 핵심조건 상한 40.0점. Judge: 센서 B가 요구조건을 모두 만족한다고 잘못 판단하여 중대 오류. 자동검증 결과 탈락 센서를 적합하다고 판단하는 역방향 주장이 감점 원인."
Qwen2.5-Coder-14B-Instruct-Q8_0,R04,Research,100.0,objective,필수개념 4/4
Qwen2.5-Coder-14B-Instruct-Q8_0,W01,Writer,62.0,hybrid,"Hybrid: 자동검증 62.0점 × 45% + Judge 62.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 필수 사실 중 '한 개 라인에서만 검증'이 누락되어 감점되었으며, 자동검증 결과에 따라 총 감점이 적용됨."
Qwen2.5-Coder-14B-Instruct-Q8_0,W02,Writer,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 45% + Judge 70.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 3문장으로 구성되어 있으나, '임베딩'과 '유사 검색'에 대한 설명이 부족해 비전공자 친화적이지 않음. 또한 원문의 핵심 개념인 '고차원 임베딩 공간'과 '근사 최근접 이웃 탐색'은 명확히 전달되지 않음."
Qwen2.5-Coder-14B-Instruct-Q8_0,W03,Writer,50.0,hybrid,"Hybrid: 자동검증 50.0점 × 40% + Judge 50.0점 × 60%, 실패한 핵심조건 상한 70.0점. Judge: 정확도 우선 시 A안을 권고하는 내용이 명시적으로 표현되지 않아 자동검증에서 FAIL 처리됨. 또한, 트레이드오프 설명이 부족하고 단일결론처럼 느껴지는 경향이 있음."
Qwen2.5-Coder-14B-Instruct-Q8_0,W04,Writer,97.0,hybrid,"Hybrid: 자동검증 100.0점 × 40% + Judge 95.0점 × 60%. Judge: 원인 미확정, 담당 구분, 금요일 재점검이 모두 충족되었으나, '서버 성능 저하'라는 추가 표현이 원래 메모에 없어 약간의 과장이 있음."
Qwen2.5-Coder-3B-Instruct-Q4_K_M,C01,Coding,100.0,objective,필수개념 2/2
Qwen2.5-Coder-3B-Instruct-Q4_K_M,C02,Coding,100.0,objective,필수개념 3/3
Qwen2.5-Coder-3B-Instruct-Q4_K_M,C03,Coding,20.0,objective,필수개념 1/5
Qwen2.5-Coder-3B-Instruct-Q4_K_M,C04,Coding,100.0,objective,"유효 알고리즘=PASS(dict/OrderedDict.fromkeys), 평균 O(n) 설명=PASS"
Qwen2.5-Coder-3B-Instruct-Q4_K_M,C05,Coding,100.0,objective,필수개념 3/3
Qwen2.5-Coder-3B-Instruct-Q4_K_M,K01,Critic,100.0,objective,필수개념 2/2
Qwen2.5-Coder-3B-Instruct-Q4_K_M,K02,Critic,100.0,objective,필수개념 4/4
Qwen2.5-Coder-3B-Instruct-Q4_K_M,K03,Critic,88.0,hybrid,"Hybrid: 자동검증 88.0점 × 50% + Judge 88.0점 × 50%. Judge: 모순이 존재함을 정확히 지적했으나, 자동검증에서 요구된 '약 4주 | 30일' 등의 구체적인 수치 표현이 누락되어 감점됨"
Qwen2.5-Coder-3B-Instruct-Q4_K_M,K04,Critic,50.0,hybrid,"Hybrid: 자동검증 50.0점 × 55% + Judge 50.0점 × 45%, 실패한 핵심조건 상한 60.0점. Judge: 하드코딩된 비밀번호 문제를 식별하지 못했으며, SQL 인젝션 문제는 올바르게 지적했으나, 수정 방향에서 비밀번호 암호화보다는 파라미터화 쿼리에만 집중해 보안 대책이 불완전함"
Qwen2.5-Coder-3B-Instruct-Q4_K_M,K05,Critic,80.0,hybrid,"Hybrid: 자동검증 80.0점 × 50% + Judge 80.0점 × 50%. Judge: 자동 검증 결과에서 '불확실성 #3' 항목이 누락되어 감점되었으나, 나머지 주요 비판 포인트는 충분히 다루었음."
Qwen2.5-Coder-3B-Instruct-Q4_K_M,D01,Data,100.0,objective,정답 86.0 발견
Qwen2.5-Coder-3B-Instruct-Q4_K_M,D02,Data,50.0,objective,수치정답 1/2
Qwen2.5-Coder-3B-Instruct-Q4_K_M,D03,Data,0.0,objective,"기대값 0.2687, 추출값 [0.9, 0.02, 0.9, 0.02, 0.05, 0.98, 0.018, 0.049, 0.067, 0.9]"
Qwen2.5-Coder-3B-Instruct-Q4_K_M,D04,Data,100.0,objective,"line 기준 groupby=PASS, defect_rate 평균=PASS, 집계 평균 > 0.03 필터=PASS, 집계값 내림차순 정렬=PASS"
Qwen2.5-Coder-3B-Instruct-Q4_K_M,D05,Data,0.0,objective,수치정답 0/2
